age_group,female,male,unspecified,transgender,total,case%,f%,m%,fatal-f,fatal-m,fatal-u,fatal-t,fatal-total,fatal%
20s,12699.0,14243.0,157.0,3.0,27102.0,0.21,0.47,0.53,1.0,3.0,0.0,0.0,4.0,0.0
30s,9754.0,10323.0,103.0,2.0,20182.0,0.16,0.48,0.51,0.0,9.0,0.0,0.0,9.0,0.0
50s,9823.0,8876.0,80.0,2.0,18781.0,0.15,0.52,0.47,47.0,75.0,2.0,0.0,124.0,0.03
40s,9557.0,8575.0,114.0,5.0,18251.0,0.14,0.52,0.47,9.0,21.0,0.0,0.0,30.0,0.01
<20,7522.0,8210.0,115.0,4.0,15851.0,0.12,0.47,0.52,1.0,0.0,0.0,0.0,1.0,0.0
60s,5800.0,6247.0,42.0,2.0,12091.0,0.09,0.48,0.52,117.0,215.0,1.0,0.0,333.0,0.09
70s,3274.0,3277.0,34.0,1.0,6586.0,0.05,0.5,0.5,259.0,402.0,3.0,0.0,664.0,0.17
80s,3911.0,2326.0,53.0,0.0,6290.0,0.05,0.62,0.37,729.0,640.0,13.0,0.0,1382.0,0.36
90s,2993.0,1040.0,48.0,0.0,4081.0,0.03,0.73,0.25,829.0,409.0,13.0,0.0,1251.0,0.33
UNKNOWN,3.0,2.0,1.0,0.0,6.0,0.0,0.5,0.33,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
